accident_index;accident_year;accident_reference;location_easting_osgr;location_northing_osgr;X;Y;police_force;accident_severity;number_of_vehicles;number_of_casualties;date;day_of_week;time;local_authority_district;local_authority_ons_district;local_authority_highway;first_road_class;first_road_number;road_type;speed_limit;junction_detail;junction_control;second_road_class;second_road_number;pedestrian_crossing_human_control;pedestrian_crossing_physical_facilities;light_conditions;weather_conditions;road_surface_conditions;special_conditions_at_site;carriageway_hazards;urban_or_rural_area;did_police_officer_attend_scene_of_accident;trunk_road_flag;lsoa_of_accident_location;tranche_horaire;week_number
2.02E+12;2020;10230368;535847;194402;-0.038574;51.632036;1;3;1;1;01/01/2020;4;00:35:00;32;E09000010;E09000010;3;1055;2;40;99;1;6;0;9;9;1;9;2;9;0;1;3;2;E01001483;0;1
2.02E+12;2020;10228032;526375;174240;-0.182588;51.453048;1;2;3;1;01/01/2020;4;01:10:00;10;E09000032;E09000032;6;0;6;20;0;-1;0;-1;0;0;4;1;2;0;0;1;1;2;E01004620;0;1
2.02E+12;2020;10228145;532411;167385;-0.098327;51.390066;1;3;2;1;01/01/2020;4;01:10:00;20;E09000008;E09000008;6;0;7;20;99;9;6;0;0;0;4;1;1;0;0;1;3;2;E01001115;0;1
2.02E+12;2020;10228005;526432;182761;-0.178719;51.529614;1;3;1;1;01/01/2020;4;01:25:00;1;E09000033;E09000033;5;0;6;30;3;1;6;0;0;0;4;1;2;0;0;1;1;2;E01004726;0;1
2.02E+12;2020;10228012;537193;177105;-0.02588;51.476278;1;3;1;1;01/01/2020;4;01:30:00;7;E09000023;E09000023;3;2209;2;20;3;4;6;0;0;0;4;1;1;0;0;1;1;2;E01003304;0;1
2.02E+12;2020;10228037;529918;163201;-0.135664;51.35304;1;3;1;1;01/01/2020;4;01:45:00;21;E09000029;E09000029;5;0;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;2;E01004089;0;1
2.02E+12;2020;10228006;538676;184371;-0.001683;51.54121;1;2;1;1;01/01/2020;4;01:50:00;17;E09000025;E09000025;3;11;6;30;0;-1;0;-1;0;4;4;1;1;0;0;1;1;2;E01003617;0;1
2.02E+12;2020;10230613;518048;168373;-0.304327;51.402112;1;3;1;3;01/01/2020;4;02:20:00;23;E09000021;E09000021;3;240;9;30;0;-1;0;-1;9;9;7;9;9;9;9;1;3;2;E01002965;1;1
2.02E+12;2020;10228011;529324;181286;-0.137592;51.515704;1;3;1;2;01/01/2020;4;02:25:00;1;E09000033;E09000033;3;40;6;30;3;4;5;0;0;0;4;1;1;0;0;1;1;2;E01004763;1;1
2.02E+12;2020;10228017;536115;182297;-0.03939;51.523195;1;2;2;1;01/01/2020;4;03:00:00;5;E09000030;E09000030;3;11;3;30;9;4;6;0;0;0;4;8;2;0;0;1;1;2;E01004261;1;1
2.02E+12;2020;10931381;533681;180745;-0.075042;51.509829;1;3;2;1;01/01/2020;4;03:00:00;-1;E09000030;E09000030;3;100;3;30;6;2;3;100;0;5;4;1;1;0;0;1;2;2;E01004293;1;1
